"CUSEC","cod_provincia","nom_provincia","cod_comarca","nom_comarca","cod_municipi","nom_municipi"
"0801901020","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801901021","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801901022","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801901023","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801901025","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801901026","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801901027","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801901028","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801901029","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801901030","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801901031","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801901032","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801901033","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801901034","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801901035","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801901036","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801901037","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801901038","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801901039","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801901040","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801901041","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801901042","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801901043","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801901044","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801901045","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801901046","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801901047","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801901048","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801901049","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801901050","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801901051","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801901052","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801901053","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801901054","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801901055","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902001","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902002","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902003","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902004","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902005","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902006","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902007","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902008","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902009","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902010","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902011","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902012","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902013","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902014","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902015","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902016","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902017","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902018","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902019","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902020","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902021","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902022","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902023","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902024","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902025","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902026","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902027","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902028","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902029","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902030","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902031","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902032","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902033","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902034","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902035","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902036","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902037","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902038","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902039","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902040","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902041","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902042","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902043","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902044","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902045","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902046","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902047","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902048","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902049","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902050","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902051","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902052","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902053","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902054","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902055","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902056","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902057","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902058","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902059","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902060","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902061","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902062","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902063","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902064","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902065","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902066","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902067","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902068","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902069","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902070","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902071","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902072","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902073","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902074","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902075","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902076","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902077","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902078","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902079","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902080","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902081","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902082","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902083","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902084","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902085","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902086","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902087","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902088","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902089","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902090","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902091","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902092","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902093","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902094","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902095","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902096","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902097","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902098","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902099","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902100","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902101","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902102","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902103","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902104","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902105","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902106","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902107","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902108","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902109","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902110","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902111","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902112","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902113","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902114","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902115","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902116","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902117","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902118","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902119","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902120","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902121","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902122","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902123","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902124","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902125","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902126","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902127","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902128","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902129","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902130","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902131","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902132","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902133","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902134","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902135","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902136","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902137","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902138","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902139","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902140","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902141","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902142","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902143","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902144","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902145","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902146","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902147","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902148","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902149","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902150","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902151","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902152","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902153","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902154","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902155","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902156","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902157","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902158","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902159","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902160","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902161","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902162","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902163","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902164","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902165","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902166","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902167","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902168","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902169","08","Barcelona","13","Barcelonès","08019","Barcelona"
"0801902170","08","Barcelona","13","Barcelonès","08019","Barcelona"
